Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
1	160.99495	151.22728	 	111.47037	151.4037	 	55.621952	87.585365	 	43.664837	58.126373	 	54.73077	26.893162	 
2	161.62914	151.15562	 	112.409775	152.98872	 	53.816128	88.69355	*	40.544693	59.511173	*	49.52479	27.045454	*
3	162.32095	151.15878	 	113.058136	154.26744	 	52.467533	89.47403	*	37.48857	60.922855	*	43.7521	27.357143	*
4	162.85353	151.1734	 	113.8937	155.7126	 	51.77451	90.303925	*	35.252872	62.333332	*	38.435482	27.75	*
5	163.30267	151.17558	 	114.6875	156.73438	 	52.183544	92.24683	 	34.710228	64.994316	*	33.984127	29.02381	*
6	163.85	151.04	 	115.15385	157.20769	 	54.239395	96.42727	 	37.618557	68.91237	*	30.868422	32.44737	*
7	164.33612	150.92474	 	115.63281	156.79688	 	57.752872	102.31035	 	42.99254	74.31094	*	30.37736	39.160378	*
8	164.70805	150.50336	 	115.77559	156.1693	 	61.655174	107.954025	 	48.131313	79.72222	*	33.701923	45.865383	*
9	165.06122	150.17686	 	116.083336	155.38637	 	65.14881	112.14881	 	53.454082	83.688774	*	39.22174	49.9	*
10	165.20589	149.85294	 	116.14286	154.63492	 	67.55988	114.27245	*	59.11702	85.526596	*	46.693275	51.936974	*
11	165.19504	149.69858	 	116.041985	154.11832	 	68.80864	114.24691	*	64.77368	85.62631	*	56.29675	52.109756	*
12	164.84285	149.70714	 	115.52308	153.50769	 	69.77811	111.86687	*	70.45187	84.01337	*	67.433334	51.06296	 
13	164.25986	150.28136	 	114.80232	153.26744	 	70.85714	107.2619	*	76.33854	80.666664	*	79.521736	48.427536	 
14	163.54286	151.26785	 	113.859375	152.97656	 	72.419754	101.00617	*	82.671875	76.4375	*	91.58965	45.74138	 
15	162.68533	152.39961	 	112.844	152.572	 	74.70645	94.325806	*	88.89548	72.33616	*	103.42701	43.660583	 
16	161.69763	153.67787	 	111.833336	152.18217	 	77.435486	88.44839	*	94.75288	68.505745	*	113.89259	42.544445	 
17	160.725	154.87917	 	110.75984	151.96457	 	80.958336	83.4375	*	100.1478	65.24843	*	123.33846	41.661537	 
18	159.85776	156.27586	 	109.78906	152.17969	 	84.64765	79.51342	*	105.487015	62.525974	*	131.58089	41.036766	 
19	159.1	157.58182	 	108.951614	152.53226	 	89.40845	75.73943	*	110.90939	60.077183	*	139.4926	40.425926	 
20	158.5283	159.01888	 	108.436	153.1	 	94.8125	72.19444	*	117.367546	57.175495	*	147.8116	39.173912	 
21	158.00952	160.69048	 	108.06911	153.73578	 	100.891304	68.797104	*	124.333336	53.893333	*	156.37218	37.68797	 
22	157.70096	162.22249	 	107.884	154.484	 	106.989655	66.058624	*	131.2027	50.844593	*	164.72302	36.16187	 
23	157.38461	163.64903	 	107.84127	154.75397	 	112.477776	63.433334	*	136.7973	47.23649	*	172.05814	33.600777	 
24	157.40654	164.70561	 	108.22222	154.73016	 	116.26296	61.055557	*	140.05556	43.04902	*	175.75565	28.845865	 
25	157.87674	164.85349	 	108.80469	153.90625	 	117.39552	58.686565	*	140.3773	38.469326	*	175.27235	22.752033	 
26	158.5	163.9305	 	109.71374	152.76718	 	114.36806	57.36111	*	135.64706	35.47059	*	170.55426	21.01938	 
27	159.22807	162.17982	 	110.51515	151.62122	 	109.42414	57.093105	*	128.8952	33.781437	*	163.75807	20.330645	*
28	159.9	160.1	 	111.208954	150.34328	 	105.289474	57.05263	*	123.565475	32.86905	*	157.5	19.920635	*
29	160.67749	158.19264	 	111.71374	149.76718	 	101.37261	57.93312	*	118.27778	32.932747	*	151.74794	19.855371	*
30	161.33842	156.31659	 	112.5	148.77481	 	97.51852	59.179012	*	113.206894	33.431034	*	146.18852	19.803278	*
31	161.73914	154.62173	 	112.73664	147.76718	 	93.80303	60.263638	*	108.19143	33.951427	*	140.532	19.764	*
32	162.13948	152.65451	 	112.98872	146.40977	 	90.221214	61.28182	*	103.02	34.374287	*	134.62097	19.798388	*
33	162.25537	150.86052	 	113.13158	145.26692	 	86.95399	62.751534	*	98.155365	35.200565	*	129.09836	19.836065	*
34	162.5125	149.25833	 	113.10294	143.90442	 	83.96199	64.18421	*	93.28977	36.198864	*	123.370964	19.959677	*
35	162.7449	147.97346	 	113.14493	142.76811	 	81.378784	65.76667	*	88.80769	37.192307	*	117.82231	19.938017	*
36	162.95564	146.94354	 	113.29851	141.97762	 	78.75595	67.59524	*	84.39773	38.511364	*	112.37603	20.03719	*
37	163.04616	146.38461	 	113.118706	141.6295	 	76.38024	69.356285	*	80.12366	39.88172	*	106.90833	20.091667	*
38	162.93726	146.40114	 	113.06204	141.36131	 	74.13095	71.21429	*	75.85714	41.51099	*	101.311966	20.30342	*
39	162.79323	146.66542	 	112.9539	141.93262	 	71.60227	72.66477	*	71.82258	42.88172	*	95.991806	20.42623	*
